EmployeeID,Name,Department,Region,Gender,Age,Salary,JoiningDate,PerformanceScore,Sales
229,Employee_229,IT,East,Male,56.0,91330.0,2015-08-17,4.0,18356.0
3337,Employee_3337,Finance,North,Male,44.0,100886.0,2024-02-19,4.0,42976.0
2269,Employee_2269,Sales,North,Male,30.0,44066.0,2021-03-18,1.0,24419.0
3853,Employee_3853,Sales,West,Female,26.0,86467.0,2025-07-19,1.0,18612.0
502,Employee_502,Sales,West,Female,46.0,54256.0,2016-05-16,4.0,15139.0
3129,Employee_3129,Marketing,East,Male,32.0,78436.0,2023-07-26,1.0,15375.0
3353,Employee_3353,IT,South,Male,45.0,97107.0,2024-03-06,1.0,36264.0
4175,Employee_4175,Marketing,South,Female,38.0,112804.0,2026-06-06,5.0,13522.0
1635,Employee_1635,HR,East,Male,21.0,116450.0,2019-06-23,3.0,12568.0
1481,Employee_1481,HR,South,Female,44.0,59550.0,2019-01-20,2.0,43082.0
2116,Employee_2116,Marketing,South,Female,58.0,78241.0,2020-10-16,1.0,6499.0
4000,Employee_4000,HR,South,Female,26.0,53952.0,2025-12-13,1.0,26524.0
562,Employee_562,Sales,North,Male,32.0,77280.0,2016-07-15,4.0,39875.0
4199,Employee_4199,IT,North,Male,22.0,35349.0,2026-06-30,4.0,47954.0
3698,Employee_3698,Finance,East,Male,49.0,98480.0,2025-02-14,4.0,20945.0
1745,Employee_1745,Sales,East,Female,54.0,47469.0,2019-10-11,5.0,20311.0
280,Employee_280,IT,North,Male,43.0,86869.0,2015-10-07,4.0,18973.0
2267,Employee_2267,IT,West,Male,25.0,57678.0,2021-03-16,3.0,14684.0
158,Employee_158,Marketing,East,Male,20.0,106380.0,2015-06-07,5.0,16838.0
539,Employee_539,HR,North,Female,53.0,77199.0,2016-06-22,1.0,20389.0
4115,Employee_4115,IT,North,Female,22.0,106524.0,2026-04-07,3.0,208.0
4458,Employee_4458,Finance,South,Female,23.0,44570.0,2027-03-16,5.0,12920.0
1651,Employee_1651,Finance,South,Male,21.0,85256.0,2019-07-09,1.0,39871.0
3151,Employee_3151,Sales,North,Male,42.0,58429.0,2023-08-17,4.0,27338.0
765,Employee_765,HR,South,Male,24.0,100683.0,2017-02-03,2.0,22203.0
1865,Employee_1865,Finance,West,Female,59.0,32711.0,2020-02-08,3.0,21416.0
3486,Employee_3486,IT,South,Male,23.0,53368.0,2024-07-17,1.0,27621.0
732,Employee_732,Marketing,West,Male,54.0,56245.0,2017-01-01,,17881.0
85,Employee_85,Sales,South,Female,36.0,56547.0,2015-03-26,1.0,44857.0
2581,Employee_2581,Sales,South,Female,51.0,71616.0,2022-01-24,3.0,23845.0
3208,Employee_3208,Sales,West,Female,35.0,66817.0,2023-10-13,3.0,48446.0
2975,Employee_2975,IT,East,Male,49.0,48913.0,2023-02-22,2.0,5282.0
2697,Employee_2697,IT,East,Male,30.0,72294.0,2022-05-20,4.0,34750.0
1339,Employee_1339,Finance,West,Male,38.0,95311.0,2018-08-31,5.0,45955.0
3903,Employee_3903,Marketing,South,Male,32.0,65702.0,2025-09-07,1.0,42858.0
912,Employee_912,IT,South,Female,25.0,47603.0,2017-06-30,5.0,26468.0
30,Employee_30,Finance,North,Male,20.0,69865.0,2015-01-30,4.0,39678.0
678,Employee_678,IT,West,Male,48.0,108950.0,2016-11-08,3.0,40943.0
4502,Employee_4502,Marketing,East,Male,22.0,83252.0,2027-04-29,3.0,38253.0
3686,Employee_3686,Marketing,West,Male,56.0,31304.0,2025-02-02,3.0,783.0
3742,Employee_3742,Finance,East,Female,21.0,63826.0,2025-03-30,2.0,13805.0
1621,Employee_1621,Finance,East,Female,44.0,75955.0,2019-06-09,5.0,22438.0
423,Employee_423,HR,East,Male,25.0,49450.0,2016-02-27,5.0,10584.0
1666,Employee_1666,Marketing,North,Female,42.0,110442.0,2019-07-24,1.0,43655.0
4990,Employee_4990,Marketing,West,Female,47.0,110912.0,2028-08-29,2.0,7408.0
2728,Employee_2728,IT,East,Male,30.0,31403.0,2022-06-20,3.0,24169.0
3194,Employee_3194,HR,South,Male,51.0,116340.0,2023-09-29,2.0,38247.0
3969,Employee_3969,IT,North,Female,41.0,117762.0,2025-11-12,3.0,25392.0
169,Employee_169,Sales,West,Male,57.0,91794.0,2015-06-18,1.0,32667.0
3835,Employee_3835,Marketing,North,Male,30.0,76696.0,2025-07-01,5.0,30524.0
3482,Employee_3482,Marketing,South,Female,37.0,113504.0,2024-07-13,4.0,42476.0
3470,Employee_3470,IT,West,Female,58.0,111204.0,2024-07-01,5.0,28756.0
228,Employee_228,HR,South,Male,36.0,69916.0,2015-08-16,4.0,27279.0
2655,Employee_2655,Finance,West,Male,35.0,31780.0,2022-04-08,2.0,11926.0
487,Employee_487,Sales,North,Female,58.0,,2016-05-01,4.0,42633.0
1695,Employee_1695,HR,North,Male,49.0,101677.0,2019-08-22,2.0,2560.0
1201,Employee_1201,HR,East,Female,34.0,34934.0,2018-04-15,3.0,42933.0
2686,Employee_2686,IT,South,Female,40.0,118732.0,2022-05-09,4.0,32826.0
3173,Employee_3173,IT,East,Female,22.0,82330.0,2023-09-08,3.0,18345.0
24,Employee_24,Sales,North,Male,52.0,87702.0,2015-01-24,2.0,18025.0
3085,Employee_3085,Marketing,West,Female,22.0,46265.0,2023-06-12,4.0,12321.0
3131,Employee_3131,Marketing,South,Male,26.0,46972.0,2023-07-28,4.0,11802.0
2537,Employee_2537,Finance,West,Female,39.0,98947.0,2021-12-11,5.0,27456.0
2898,Employee_2898,IT,South,Male,23.0,48243.0,2022-12-07,3.0,30504.0
4841,Employee_4841,IT,South,Female,50.0,100417.0,2028-04-02,4.0,48203.0
2094,Employee_2094,Marketing,North,Female,21.0,55992.0,2020-09-24,1.0,36081.0
240,Employee_240,Marketing,West,Male,50.0,41075.0,2015-08-28,2.0,19005.0
3572,Employee_3572,Finance,West,Female,,69460.0,2024-10-11,5.0,7476.0
3766,Employee_3766,Sales,North,Male,39.0,94766.0,2025-04-23,5.0,9512.0
2017,Employee_2017,Sales,East,Female,49.0,47130.0,2020-07-09,5.0,19884.0
4039,Employee_4039,HR,North,Male,42.0,84086.0,2026-01-21,,15362.0
298,Employee_298,IT,East,Female,22.0,92958.0,2015-10-25,2.0,18190.0
249,Employee_249,Finance,South,Female,44.0,106023.0,2015-09-06,5.0,18530.0
2136,Employee_2136,Sales,South,Female,31.0,113035.0,2020-11-05,4.0,49270.0
374,Employee_374,IT,East,Male,37.0,35380.0,2016-01-09,5.0,305.0
882,Employee_882,Marketing,South,Female,33.0,82268.0,2017-05-31,1.0,20856.0
2308,Employee_2308,Sales,North,Male,34.0,114982.0,2021-04-26,1.0,36536.0
3888,Employee_3888,IT,West,Female,,62734.0,2025-08-23,5.0,22469.0
4504,Employee_4504,Sales,South,Female,33.0,42501.0,2027-05-01,4.0,17157.0
2992,Employee_2992,Marketing,North,Male,45.0,60889.0,2023-03-11,4.0,5196.0
725,Employee_725,Sales,East,Male,50.0,114845.0,2016-12-25,2.0,23593.0
2221,Employee_2221,Marketing,East,Female,38.0,70626.0,2021-01-29,4.0,227.0
2218,Employee_2218,HR,North,Female,59.0,92580.0,2021-01-26,4.0,
1469,Employee_1469,Sales,North,Female,54.0,48460.0,2019-01-08,4.0,3888.0
1593,Employee_1593,Sales,South,Male,20.0,77431.0,2019-05-12,4.0,36492.0
3952,Employee_3952,Finance,North,Male,27.0,118296.0,2025-10-26,1.0,3410.0
2446,Employee_2446,Finance,South,Female,28.0,61147.0,2021-09-11,2.0,40396.0
3092,Employee_3092,HR,South,Male,22.0,106377.0,2023-06-19,2.0,33983.0
928,Employee_928,Finance,West,Male,25.0,80511.0,2017-07-16,3.0,10982.0
4580,Employee_4580,IT,East,Male,20.0,61126.0,2027-07-16,3.0,30410.0
4653,Employee_4653,IT,North,Male,46.0,43341.0,2027-09-27,2.0,3122.0
600,Employee_600,Marketing,West,Male,35.0,35131.0,2016-08-22,3.0,36795.0
1393,Employee_1393,Marketing,West,Male,36.0,39262.0,2018-10-24,3.0,32991.0
2228,Employee_2228,Sales,South,Male,21.0,63411.0,2021-02-05,4.0,1619.0
4177,Employee_4177,HR,West,Male,43.0,66417.0,2026-06-08,1.0,36840.0
1610,Employee_1610,IT,South,Female,46.0,116821.0,2019-05-29,5.0,4716.0
4291,Employee_4291,Finance,East,Male,47.0,58831.0,2026-09-30,1.0,11111.0
2877,Employee_2877,Marketing,South,Male,51.0,88676.0,2022-11-16,2.0,25604.0
3289,Employee_3289,Marketing,South,Female,56.0,55412.0,2024-01-02,2.0,8511.0
2143,Employee_2143,Sales,West,Male,55.0,81902.0,2020-11-12,4.0,24087.0
472,Employee_472,Marketing,East,Female,47.0,106864.0,2016-04-16,1.0,36918.0
1245,Employee_1245,Sales,East,Female,43.0,45915.0,2018-05-29,,9821.0
3691,Employee_3691,Sales,South,Male,42.0,105886.0,2025-02-07,2.0,1103.0
4222,Employee_4222,Marketing,East,Male,42.0,69713.0,2026-07-23,4.0,19026.0
1074,Employee_1074,IT,South,Female,36.0,30042.0,2017-12-09,2.0,22894.0
1045,Employee_1045,IT,West,Male,55.0,95623.0,2017-11-10,5.0,24877.0
1715,Employee_1715,Finance,North,Female,24.0,76162.0,2019-09-11,4.0,43478.0
4041,Employee_4041,Marketing,East,Male,42.0,113232.0,2026-01-23,3.0,39986.0
4779,Employee_4779,Marketing,East,Male,53.0,31552.0,2028-01-31,3.0,22555.0
1035,Employee_1035,Finance,North,Male,51.0,93925.0,2017-10-31,5.0,3103.0
4418,Employee_4418,IT,East,Female,54.0,36251.0,2027-02-04,3.0,27132.0
1753,Employee_1753,Finance,East,Male,36.0,37543.0,2019-10-19,4.0,24899.0
3650,Employee_3650,Finance,South,Female,39.0,113301.0,2024-12-28,,1843.0
4809,Employee_4809,Marketing,South,Male,22.0,106226.0,2028-03-01,1.0,10541.0
1555,Employee_1555,Sales,East,Female,46.0,,2019-04-04,5.0,1903.0
4196,Employee_4196,Marketing,North,Male,35.0,117340.0,2026-06-27,4.0,3088.0
2987,Employee_2987,IT,West,Female,27.0,46350.0,2023-03-06,5.0,38020.0
2722,Employee_2722,Sales,North,Female,35.0,38727.0,2022-06-14,1.0,26998.0
830,Employee_830,Sales,South,Female,34.0,,2017-04-09,4.0,28612.0
1096,Employee_1096,HR,North,Female,33.0,85430.0,2017-12-31,2.0,29396.0
427,Employee_427,Sales,South,Male,59.0,49332.0,2016-03-02,5.0,16450.0
2146,Employee_2146,Marketing,North,Male,36.0,105082.0,2020-11-15,5.0,1280.0
3136,Employee_3136,IT,West,Male,34.0,117354.0,2023-08-02,4.0,41864.0
4161,Employee_4161,Sales,North,Female,58.0,118669.0,2026-05-23,3.0,24288.0
4065,Employee_4065,HR,East,Male,51.0,83276.0,2026-02-16,2.0,44321.0
4343,Employee_4343,Marketing,West,Female,26.0,63000.0,2026-11-21,2.0,19856.0
4952,Employee_4952,IT,North,Male,24.0,41439.0,2028-07-22,3.0,20830.0
3581,Employee_3581,Marketing,South,Male,20.0,60802.0,2024-10-20,1.0,47686.0
4231,Employee_4231,Marketing,North,Female,58.0,46058.0,2026-08-01,3.0,32249.0
2663,Employee_2663,IT,North,Male,48.0,38800.0,2022-04-16,5.0,22018.0
2706,Employee_2706,Finance,South,Male,45.0,117328.0,2022-05-29,5.0,18076.0
1324,Employee_1324,Marketing,North,Female,27.0,55407.0,2018-08-16,5.0,
4130,Employee_4130,Marketing,North,Female,34.0,118591.0,2026-04-22,4.0,10519.0
3985,Employee_3985,Sales,West,Male,37.0,49622.0,2025-11-28,4.0,7693.0
4826,Employee_4826,HR,South,Female,22.0,89046.0,2028-03-18,5.0,27321.0
4460,Employee_4460,Finance,North,Female,29.0,110263.0,2027-03-18,2.0,5560.0
2884,Employee_2884,Sales,East,Male,37.0,35207.0,2022-11-23,5.0,23449.0
2118,Employee_2118,HR,West,Female,26.0,65011.0,2020-10-18,4.0,17668.0
654,Employee_654,Marketing,West,Female,53.0,66253.0,2016-10-15,4.0,43674.0
4437,Employee_4437,Sales,South,Female,43.0,61050.0,2027-02-23,3.0,49967.0
1019,Employee_1019,HR,North,Male,49.0,41584.0,2017-10-15,,22737.0
89,Employee_89,Finance,South,Male,42.0,108411.0,2015-03-30,2.0,15674.0
1130,Employee_1130,HR,North,Female,58.0,70309.0,2018-02-03,2.0,30802.0
3774,Employee_3774,IT,West,Male,46.0,72354.0,2025-05-01,2.0,24007.0
9,Employee_9,IT,West,Female,36.0,119779.0,2015-01-09,1.0,26082.0
1887,Employee_1887,Sales,South,Male,45.0,76546.0,2020-03-01,3.0,37488.0
1663,Employee_1663,HR,East,Male,53.0,81052.0,2019-07-21,1.0,46540.0
3911,Employee_3911,IT,West,Female,47.0,45860.0,2025-09-15,4.0,6696.0
682,Employee_682,Marketing,East,Female,26.0,110543.0,2016-11-12,,14983.0
3774,Employee_3774,IT,West,Male,46.0,72354.0,2025-05-01,2.0,24007.0
3659,Employee_3659,Marketing,South,Male,44.0,41252.0,2025-01-06,3.0,9300.0
145,Employee_145,Finance,South,Male,42.0,80822.0,2015-05-25,2.0,47398.0
995,Employee_995,Marketing,South,Male,47.0,46489.0,2017-09-21,3.0,16548.0
3653,Employee_3653,Marketing,West,Male,53.0,53867.0,2024-12-31,4.0,2280.0
1742,Employee_1742,Sales,East,Female,25.0,74227.0,2019-10-08,4.0,33787.0
3341,Employee_3341,Finance,West,Male,35.0,54718.0,2024-02-23,1.0,1160.0
3836,Employee_3836,IT,East,Female,41.0,115442.0,2025-07-02,1.0,7160.0
2742,Employee_2742,HR,North,Male,36.0,41091.0,2022-07-04,4.0,2501.0
152,Employee_152,Sales,East,Female,25.0,60029.0,2015-06-01,5.0,19169.0
1671,Employee_1671,IT,East,Male,57.0,113114.0,2019-07-29,1.0,14133.0
3918,Employee_3918,Marketing,East,Male,25.0,60737.0,2025-09-22,5.0,45202.0
1832,Employee_1832,HR,South,Male,25.0,78426.0,2020-01-06,5.0,25551.0
241,Employee_241,IT,North,Male,45.0,52699.0,2015-08-29,1.0,45201.0
849,Employee_849,Sales,East,Male,38.0,85467.0,2017-04-28,5.0,48650.0
2173,Employee_2173,HR,North,Male,29.0,78702.0,2020-12-12,5.0,40278.0
1882,Employee_1882,Finance,South,Male,24.0,64510.0,2020-02-25,2.0,4052.0
857,Employee_857,IT,North,Female,55.0,78245.0,2017-05-06,3.0,4628.0
3356,Employee_3356,Finance,South,Female,36.0,109570.0,2024-03-09,1.0,21321.0
1414,Employee_1414,Marketing,West,Male,58.0,81761.0,2018-11-14,4.0,10209.0
965,Employee_965,IT,North,Female,36.0,56445.0,2017-08-22,4.0,37345.0
1418,Employee_1418,HR,South,Female,40.0,77565.0,2018-11-18,4.0,11004.0
2750,Employee_2750,IT,South,Female,50.0,70409.0,2022-07-12,4.0,11223.0
458,Employee_458,IT,South,Female,27.0,43423.0,2016-04-02,2.0,11507.0
1104,Employee_1104,IT,North,Male,37.0,46076.0,2018-01-08,5.0,47358.0
1437,Employee_1437,Marketing,West,Male,49.0,75485.0,2018-12-07,2.0,20817.0
4760,Employee_4760,HR,South,Female,41.0,67630.0,2028-01-12,2.0,19979.0
4085,Employee_4085,Finance,South,Male,36.0,48802.0,2026-03-08,2.0,35084.0
1591,Employee_1591,Finance,South,Female,35.0,74621.0,2019-05-10,4.0,30880.0
3387,Employee_3387,IT,North,Male,56.0,75733.0,2024-04-09,1.0,39447.0
466,Employee_466,HR,East,Female,43.0,106970.0,2016-04-10,2.0,40664.0
2674,Employee_2674,Finance,West,Male,22.0,103719.0,2022-04-27,1.0,40786.0
3258,Employee_3258,IT,East,Female,59.0,72926.0,2023-12-02,5.0,45125.0
4294,Employee_4294,Marketing,South,Male,47.0,59367.0,2026-10-03,3.0,31899.0
1787,Employee_1787,HR,South,Male,39.0,45935.0,2019-11-22,2.0,31379.0
1719,Employee_1719,HR,North,Male,57.0,90309.0,2019-09-15,3.0,27712.0
101,Employee_101,Finance,North,Female,21.0,55063.0,2015-04-11,4.0,18789.0
4029,Employee_4029,HR,North,Male,20.0,54425.0,2026-01-11,5.0,24120.0
1706,Employee_1706,IT,North,Male,21.0,32451.0,2019-09-02,1.0,14120.0
3320,Employee_3320,HR,West,Male,30.0,32080.0,2024-02-02,2.0,35303.0
1050,Employee_1050,Sales,West,Male,40.0,71965.0,2017-11-15,5.0,41012.0
1407,Employee_1407,Marketing,South,Male,36.0,90760.0,2018-11-07,1.0,23280.0
3626,Employee_3626,HR,North,Female,40.0,81127.0,2024-12-04,2.0,11424.0
4193,Employee_4193,Marketing,West,Male,41.0,36040.0,2026-06-24,2.0,5728.0
1254,Employee_1254,Finance,East,Male,58.0,81464.0,2018-06-07,4.0,10771.0
4739,Employee_4739,Sales,East,Male,27.0,74016.0,2027-12-22,2.0,33796.0
2421,Employee_2421,Finance,West,Male,49.0,41885.0,2021-08-17,3.0,9491.0
4274,Employee_4274,Sales,South,Male,54.0,92778.0,2026-09-13,3.0,14066.0
2848,Employee_2848,Finance,East,Male,49.0,113845.0,2022-10-18,3.0,401.0
1057,Employee_1057,HR,West,Male,21.0,,2017-11-22,3.0,10910.0
2073,Employee_2073,IT,South,Male,47.0,35972.0,2020-09-03,5.0,20883.0
1727,Employee_1727,IT,South,Female,54.0,39554.0,2019-09-23,3.0,17259.0
4253,Employee_4253,Sales,West,Female,21.0,86553.0,2026-08-23,1.0,15238.0
3362,Employee_3362,Finance,West,Female,36.0,81425.0,2024-03-15,2.0,46000.0
1296,Employee_1296,HR,East,Male,27.0,95092.0,2018-07-19,1.0,24272.0
3593,Employee_3593,HR,East,Female,59.0,65169.0,2024-11-01,3.0,10223.0
3489,Employee_3489,Sales,North,Female,58.0,119142.0,2024-07-20,1.0,14220.0
1293,Employee_1293,IT,North,Male,46.0,98211.0,2018-07-16,3.0,9689.0
590,Employee_590,Sales,East,Female,49.0,30869.0,2016-08-12,5.0,12688.0
4117,Employee_4117,HR,North,Female,20.0,67249.0,2026-04-09,3.0,21791.0
2838,Employee_2838,Marketing,South,Female,32.0,,2022-10-08,5.0,38742.0
4611,Employee_4611,Finance,North,Female,45.0,95185.0,2027-08-16,2.0,46132.0
932,Employee_932,Sales,North,Female,30.0,40847.0,2017-07-20,2.0,3528.0
1171,Employee_1171,IT,South,Male,59.0,65069.0,2018-03-16,,42950.0
3168,Employee_3168,IT,East,Male,42.0,86776.0,2023-09-03,2.0,23882.0
1700,Employee_1700,Finance,North,Male,43.0,104667.0,2019-08-27,3.0,20098.0
2620,Employee_2620,Marketing,East,Male,33.0,97680.0,2022-03-04,3.0,14560.0
684,Employee_684,HR,North,Male,37.0,108578.0,2016-11-14,5.0,34604.0
231,Employee_231,HR,East,Female,22.0,86422.0,2015-08-19,4.0,30043.0
4606,Employee_4606,Finance,East,Female,32.0,31861.0,2027-08-11,4.0,26178.0
3409,Employee_3409,IT,East,Male,49.0,104072.0,2024-05-01,1.0,35809.0
4323,Employee_4323,Sales,West,Male,55.0,54630.0,2026-11-01,3.0,45585.0
4047,Employee_4047,Sales,East,Female,31.0,111118.0,2026-01-29,4.0,7522.0
2408,Employee_2408,Sales,East,Male,30.0,115476.0,2021-08-04,2.0,36458.0
2338,Employee_2338,Finance,West,Male,24.0,103644.0,2021-05-26,3.0,13536.0
4052,Employee_4052,HR,North,Male,56.0,55110.0,2026-02-03,2.0,15762.0
297,Employee_297,Marketing,North,Male,22.0,119893.0,2015-10-24,5.0,10716.0
4750,Employee_4750,IT,South,Male,38.0,110952.0,2028-01-02,5.0,47495.0
3781,Employee_3781,Marketing,South,Female,24.0,,2025-05-08,4.0,30583.0
1174,Employee_1174,HR,West,Male,54.0,88070.0,2018-03-19,2.0,2631.0
3128,Employee_3128,Marketing,North,Male,34.0,100565.0,2023-07-25,4.0,46116.0
3036,Employee_3036,IT,South,Female,56.0,39862.0,2023-04-24,4.0,48351.0
743,Employee_743,HR,East,Female,41.0,77427.0,2017-01-12,5.0,7604.0
3941,Employee_3941,IT,North,Male,20.0,79831.0,2025-10-15,2.0,7651.0
3869,Employee_3869,IT,East,Male,29.0,93004.0,2025-08-04,5.0,19996.0
506,Employee_506,Sales,East,Male,23.0,117351.0,2016-05-20,1.0,20096.0
4601,Employee_4601,IT,West,Male,21.0,59000.0,2027-08-06,4.0,12021.0
4259,Employee_4259,Finance,South,Male,45.0,63921.0,2026-08-29,1.0,38567.0
1486,Employee_1486,Sales,East,Female,25.0,35728.0,2019-01-25,2.0,5659.0
1420,Employee_1420,HR,East,Male,47.0,30757.0,2018-11-20,4.0,33390.0
3099,Employee_3099,HR,North,Female,58.0,106150.0,2023-06-26,2.0,23442.0
706,Employee_706,Finance,East,Female,39.0,88434.0,2016-12-06,2.0,38513.0
4726,Employee_4726,Finance,East,Male,23.0,96481.0,2027-12-09,1.0,707.0
334,Employee_334,Marketing,West,Male,44.0,63746.0,2015-11-30,1.0,27048.0
469,Employee_469,Sales,East,Male,33.0,46636.0,2016-04-13,2.0,38779.0
3451,Employee_3451,Sales,North,Female,40.0,42987.0,2024-06-12,4.0,48757.0
3106,Employee_3106,Marketing,East,Female,47.0,54583.0,2023-07-03,2.0,42851.0
1435,Employee_1435,Finance,East,Male,55.0,31821.0,2018-12-05,4.0,41478.0
150,Employee_150,Finance,West,Female,36.0,113197.0,2015-05-30,5.0,23423.0
4032,Employee_4032,Marketing,East,Female,40.0,48823.0,2026-01-14,1.0,44875.0
415,Employee_415,Sales,South,Female,35.0,102265.0,2016-02-19,4.0,876.0
1306,Employee_1306,HR,East,Male,46.0,118202.0,2018-07-29,3.0,10787.0
2630,Employee_2630,Sales,East,Male,46.0,115683.0,2022-03-14,1.0,32990.0
1127,Employee_1127,Finance,West,Male,32.0,57192.0,2018-01-31,2.0,36203.0
3693,Employee_3693,Marketing,South,Female,57.0,63617.0,2025-02-09,2.0,33939.0
13,Employee_13,Marketing,East,Female,56.0,101778.0,2015-01-13,3.0,18952.0
94,Employee_94,IT,South,Male,43.0,55041.0,2015-04-04,3.0,576.0
3658,Employee_3658,Finance,West,Male,54.0,113748.0,2025-01-05,4.0,30211.0
1542,Employee_1542,Finance,South,Male,42.0,58774.0,2019-03-22,1.0,25212.0
4373,Employee_4373,Sales,East,Female,51.0,104453.0,2026-12-21,5.0,40995.0
3760,Employee_3760,Marketing,West,Male,30.0,66282.0,2025-04-17,4.0,9646.0
3734,Employee_3734,Sales,East,Male,53.0,56799.0,2025-03-22,2.0,44839.0
